Produk,Rating,Ulasan
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,4,Bagus lumayan
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Ok
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,5,"enteng banget nih sepatu dan bagus
Nayaman beet di pake"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bagusssss
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Sepatunya good keren 

Cuman kirain ukurannya ukuran sepatu orang indonesia, saya ukuran ukuran 44 pake lokal harus pake 45, tapi ini 45 aga longgar sidikit

Sip mantap"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,Gacorr
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Barang sampai dengan aman danbagus
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,bagus bangetttt
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Keren bgt, tapi belum dicoba"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Empuk oke semoga awett aja sih cuma buat  running tipis2 
Ayo hidup sehat dari diri kita sendiri 😁"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Baguss pake bangetttt gk nyeselllk beli di sini😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍💗💗😍💗😍😍😍💗💗😍💗💗😍😍💗💓😍💗😍💗😍😍💗💗😍💗😍💗😍💗😍💗😍💗😍💗�... 
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Bagus , lumayan buat sehari hari"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Barangnya bagus, sesuai pesanan. Ringan dan rapi, semoga awet"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Mantap
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,3,Di ujung kaki sepatu nya ada kuning2
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Super quality
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"Bentuk dan ukuran: Pas
Warna: Abu"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"mantap keren abisss, untung up size jadi pas deh"
